, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Turbo / SuperCharger, Drivetrain, Others, Emission Standard, Steering Type, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Central Locking, Type of Instrument Cluster / Dashboard Display, Trip Meter, Low Fuel Warning, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Integrated Music System, Infotainment Display, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Steering Adjustment, Air Conditioner, Heater, Front AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Electronic Stability Program (ESP), Traction Control, Differential Lock, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Headrests, Rear Passenger Seats Type, Power Windows, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Follow me home head Lights, Daytime Running Lights, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Pockets in Front Seat-back, Reading Lamp for Rear Passengers, Roof Mounted Antenna, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Door Not Closed Warning, Adjustable Cluster Brightness, Parking Assist, Push Button Start / Stop, Cruise Control Driving Mode, Rear AC, Hill Hold Assist, Driver Armrest, Armrest for Rear Seat, Folding Rear Seat, Split Rear Seat, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Doot Sill Plates, Cornering Headlights, Fog Lamps, Leather-wrapped Steering, Ambient or soft Interior Lighting, Cooled Glove Box, Storage in Driver Armrest, Sunglass Holder, Find My Car, Vehicle Status on App, Emergency Call, Geo-Fence, Wireless Charger, Ventilated Seats, Ventilated Seat Type, Automatic Head Lights, Rain-sensing Wipers, Sunroof / Moonroof, Minimum Turning Radius, Boot Access from the Last Row Seats, Body Kit, Rear Wiper, Puddle Lights, Curb Weight (kgs), Brake Assist in Emergency (BA), Limited Slip Differential (LSD), Blinds - Side Window, Blinds - Rear Windshield, Leather-wrapped Gear Knob, Light inside Glove Box, Lights on Vanity Mirrors, Rub - Strips, 4x4 or All Wheel Drive, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Remote Car Light Flashing & Honking Via app, Remote Sunroof Open/Close Via app, Over The Air (OTA) Updates, Unit / Display Size, Adjustment Options - Third Row Seat, Third Row Seats Type, Split Third Row Seat, Third Row Cup Holders, Chrome Finish Exhaust pipe, Internal Hard-disk, Hill Descent Control
21, Petrol, Manual - 6 Gears, 19.76, 988," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0 TSI Petrol, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Style 1.0L TSI MT,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
22, Petrol, Manual - 6 Gears, 19.2, 960," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0 TSI Petrol, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Monte Carlo 1.0L TSI MT,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
23, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 18.86, 943," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 TSI Petrol with Active Cylinder Technology, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Ambition 1.5L TSI DSG,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
24, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 18.86, 943," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 TSI Petrol with Active Cylinder Technology, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R16, 205 / 55 R16, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Analogue - Digital , Electronic 2 Trips,No information,No information,No information,No information, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Body Coloured, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Ambition 1.5L TSI DSG Dual Tone,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
25, Petrol," Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode", 18.09, 905," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0 TSI Petrol, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Style 1.0L TSI AT,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
26, Petrol," Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode", 18.09, 905," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0 TSI Petrol, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Style 1.0 TSI AT Dual Tone,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
27, Petrol, Manual - 6 Gears, 18.6, 930," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 TSI Petrol with Active Cylinder Technology, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Style 1.5L TSI MT,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
28, Petrol, Manual - 6 Gears,,," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 TSI Petrol with Active Cylinder Technology, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Lava Blue Edition 1.5L TSI MT,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,No information,,,,,,,,,,,,,,,,,,,,,,,
29, Petrol," Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode", 17.2, 860," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0 TSI Petrol, 114 bhp @ 5000 rpm, 178 Nm @ 1750 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Monte Carlo 1.0 TSI AT,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
30, Petrol, Manual - 6 Gears, 17.95, 898," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 TSI Petrol with Active Cylinder Technology, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Monte Carlo 1.5L TSI MT,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
31, Petrol," Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode", 18.86, 943," 1498 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.5 TSI Petrol with Active Cylinder Technology, 148 bhp @ 5000 rpm, 250 Nm @ 1600 rpm, Turbocharged, FWD,  Idle Start/Stop, BS6 Phase 2, Power assisted (Electric), McPherson Suspension with Lower Triangular Links and Stabiliser Bar, Twist Beam Axle, Alloy Wheels, 205 / 55 R17, 205 / 55 R17, Steel, 385, 50, 5, 4225, 1760, 1612, 2651, 188, 2, 5, 5 Star (Global NCAP)," 6 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Remote with Boot Opener, Digital, Electronic 2 Trips,No information,,No information,, Rear, Digital,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Wireless), Apple Car Play (Wireless)",No information,, 6,No information, Phone & Audio Streaming,No information,No information,No information,No information, Manual Tilt & Telescopic, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Electronic - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Electronic, Leather," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Front & Rear,No information, Chrome, Chrome, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information, LED, LED, Dual Tone, Black and Grey, Front and Rear, Front & Rear, Front & Rear,No information,No information,No information,No information, 4, 100000, Not Applicable, 2 Way,Skoda Kushaq Style 1.5L TSI DSG,No information,No information,No information,No information,No information,No information, Reverse Camera with Guidance,No information,No information," Blower, Vents Behind Front Armrest",No information,No information, With Cup Holder, Partial, 60:40 split, Driver, Driver, Metallic, Passive, Halogen,No information,No information,No information,No information,,No information,No information,No information,No information,No information, Front only, Cooled,No information,No information, Electrically Adjustable, 5.3,No information, Cladding - Black/Grey,No information,,,,,,,,,,,,,,,,,,,,,,,,
